"Asian" "African" "Caucasian" NA NA NA NA NA NA NA
"Caucasian" "Caucasian" "Caucasian" "Caucasian" "Caucasian" NA NA NA NA NA
"Caucasian" NA NA NA NA NA NA NA NA NA
"African" "Caucasian" "Caucasian" "Caucasian" "Caucasian" NA NA NA NA NA
"Caucasian" "Caucasian" "Caucasian" "Caucasian" "Caucasian" "Caucasian" "Caucasian" "Caucasian" "Caucasian" "Caucasian"
"Caucasian" "Caucasian" NA NA NA NA NA NA NA NA
"Caucasian" "Caucasian" "Caucasian" "Caucasian" "Caucasian" NA NA NA NA NA
"Caucasian" NA NA NA NA NA NA NA NA NA
"Caucasian" "Caucasian" "African" "Caucasian" "Asian" NA NA NA NA NA
"Caucasian" "Caucasian" NA NA NA NA NA NA NA NA
"Caucasian" NA NA NA NA NA NA NA NA NA
"Caucasian" "Caucasian" NA NA NA NA NA NA NA NA
"Caucasian" "Caucasian" NA NA NA NA NA NA NA NA
"Caucasian" "Caucasian" "Caucasian" NA NA NA NA NA NA NA
"Caucasian" NA NA NA NA NA NA NA NA NA
"Caucasian" "Caucasian" "Caucasian" "Caucasian" "Caucasian" NA NA NA NA NA
"Caucasian" "Caucasian" "Caucasian" "Caucasian" "Caucasian" NA NA NA NA NA
"African" "Caucasian" "Caucasian" "Caucasian" "Caucasian" "Asian" NA NA NA NA
"African" "Caucasian" "Caucasian" "Asian" NA NA NA NA NA NA
"Caucasian" "Caucasian" "Caucasian" "Caucasian" "Caucasian" NA NA NA NA NA
"Caucasian" NA NA NA NA NA NA NA NA NA
"Caucasian" "Caucasian" "Caucasian" "Caucasian" NA NA NA NA NA NA
"Caucasian" "Caucasian" "Caucasian" "Caucasian" "Asian" NA NA NA NA NA
"Caucasian" NA NA NA NA NA NA NA NA NA
"Caucasian" "Caucasian" "Caucasian" "Caucasian" "Caucasian" "Caucasian" "Asian" NA NA NA
"Caucasian" "Caucasian" "Caucasian" NA NA NA NA NA NA NA
"Caucasian" "Caucasian" "Caucasian" "Caucasian" "Asian" NA NA NA NA NA
"Caucasian" "Caucasian" NA NA NA NA NA NA NA NA
"Caucasian" "Caucasian" "Caucasian" "Asian" "Caucasian" NA NA NA NA NA
"Caucasian" "Caucasian" "Caucasian" NA NA NA NA NA NA NA
"Caucasian" "Asian" NA NA NA NA NA NA NA NA
"Caucasian" NA NA NA NA NA NA NA NA NA
"Caucasian" "Caucasian" "Asian" NA NA NA NA NA NA NA
